,project,gitPath,CommitID,Deleted CommitID,LatestDockerfile,Comment,CommitDate,DeleteComment,(File) FirstCommit,(File) Deleted,firstCommitからコメント追加までの日数,コメント追加からコメント削除までの日数,追加時ファイル,削除時ファイル,(origin)追加時ファイル,(origin)SATD
361,"tianon
dockerfiles",https://github.com/tianon/dockerfiles,2e37f527a42e05e8b9e62a84ec34355edae69e47,d6d435479900274e105bdfdf2792c26c989f05f6,ruby-passenger/Dockerfile,"# TODO find a clean way to do this here in such a way that gems like rmagick can install cleanly without first installing libmagickcore-dev
#ONBUILD ADD Gemfile /apps/rails/Gemfile
#ONBUILD ADD Gemfile.lock /apps/rails/Gemfile.lock
#ONBUILD RUN cd /apps/rails && bundle install --deployment
#ONBUILD ADD . /apps/rails
#ONBUILD RUN chown -R www-data:www-data /apps/rails",2014/03/29 08:19,2014/10/22 01:38,2014/03/29 08:19,2019/09/14 06:33,0 days 00:00:00.000000000,"206 days, 17:19:00",https://github.com/tianon/dockerfiles/commit/2e37f527a42e05e8b9e62a84ec34355edae69e47#diff-98c94b1ec125d65ca2943f740887117d94ebbea737c02c27448e8522e1da346cR24,https://github.com/tianon/dockerfiles/commit/d6d435479900274e105bdfdf2792c26c989f05f6#diff-98c94b1ec125d65ca2943f740887117d94ebbea737c02c27448e8522e1da346cL24,,
261,"haskell
docker-haskell",https://github.com/haskell/docker-haskell,2a2584ea8edb91065217e3f2a8d99e64e991445b,b2c8b20740764315551415596e9b6115e3859380,7.8/Dockerfile,## haskell package versions; can be overriden via context hacks,2014/07/27 07:55,2014/09/29 04:01,2014/05/29 12:51,,58 days 19:04:00.000000000,"63 days, 20:06:00",https://github.com/haskell/docker-haskell/commit/2a2584ea8edb91065217e3f2a8d99e64e991445b#diff-dd2c0eb6ea5cfc6c4bd4eac30934e2d5746747af48fef6da689e85b752f39557R41,https://github.com/haskell/docker-haskell/commit/b2c8b20740764315551415596e9b6115e3859380#diff-dd2c0eb6ea5cfc6c4bd4eac30934e2d5746747af48fef6da689e85b752f39557L27,,
167,"nodejs
docker-iojs",https://github.com/nodejs/docker-iojs,b1c0af6449717fd1487d00c3c99b722d9ebfc5a8,bc5d348c7ee811fe36167c24517087c0c5216163,0.10/Dockerfile,# TODO verify gpg and sha256: http://nodejs.org/dist/v0.10.30/SHASUMS256.txt.asc,2014/08/12 06:27,2014/08/12 07:13,2014/08/12 06:27,2015/01/15 08:41,0 days 00:00:00.000000000,0:46:00,https://github.com/nodejs/docker-iojs/commit/b1c0af6449717fd1487d00c3c99b722d9ebfc5a8#diff-dd2c0eb6ea5cfc6c4bd4eac30934e2d5746747af48fef6da689e85b752f39557R9,https://github.com/nodejs/docker-iojs/commit/bc5d348c7ee811fe36167c24517087c0c5216163#diff-dd2c0eb6ea5cfc6c4bd4eac30934e2d5746747af48fef6da689e85b752f39557L9,,
379,"tianon
dockerfiles",https://github.com/tianon/dockerfiles,5f053bb00f6af3fad9a1a742cfbd689818160c2c,3cc9c68e2da6f6f401eb70249aa96e48369dedde,caff/Dockerfile,# TODO move this down when COPY adheres to USER (and remove chown),2014/08/27 02:29,2019/03/03 01:01,2014/08/27 02:29,,0 days 00:00:00.000000000,"1648 days, 22:32:00",https://github.com/tianon/dockerfiles/commit/5f053bb00f6af3fad9a1a742cfbd689818160c2c#diff-eaaee6243540cc2d709ad9d8b4b7691d8dd4485c9ac9ba41a6d6d7f99a6a1253R8,https://github.com/tianon/dockerfiles/commit/3cc9c68e2da6f6f401eb70249aa96e48369dedde#diff-eaaee6243540cc2d709ad9d8b4b7691d8dd4485c9ac9ba41a6d6d7f99a6a1253L8,,
187,"tianon
gosu",https://github.com/tianon/gosu,5fb235fb1f30d3fbbacd516033b1546dd246fef5,b304eab5a681e46ed538cea7966abac02887839d,Dockerfile,# TODO pin specific commit,2014/11/05 09:30,2014/11/12 09:16,2014/07/15 04:52,,113 days 04:38:00.000000000,"6 days, 23:46:00",https://github.com/tianon/gosu/commit/5fb235fb1f30d3fbbacd516033b1546dd246fef5#diff-dd2c0eb6ea5cfc6c4bd4eac30934e2d5746747af48fef6da689e85b752f39557R6,https://github.com/tianon/gosu/commit/b304eab5a681e46ed538cea7966abac02887839d#diff-dd2c0eb6ea5cfc6c4bd4eac30934e2d5746747af48fef6da689e85b752f39557L6,,
123,"docker
docker-ce",https://github.com/docker/docker-ce,44958a29f2f2eb9a144b895146af552f1a3cd8d1,47f750ae1046f098f1676ed94176c955f87c628f,components/engine/Dockerfile,"# TODO when https://jenkins.dockerproject.com/job/Windows/ is green, add windows back to the list above
#	windows/amd64 windows/386",2015/01/23 07:42,2015/02/10 07:22,2013/07/09 13:30,,562 days 18:12:00.000000000,"17 days, 23:40:00",https://github.com/docker/docker-ce/commit/44958a29f2f2eb9a144b895146af552f1a3cd8d1#diff-a3e40a36d8a31c3425a6c7002b217d41d51782bd42bddb2471e89c082fdd4185R89,https://github.com/docker/docker-ce/commit/47f750ae1046f098f1676ed94176c955f87c628f#diff-a3e40a36d8a31c3425a6c7002b217d41d51782bd42bddb2471e89c082fdd4185L89,,
73,"moby
moby",https://github.com/moby/moby,47769994e5cba81a96529b418052afce7a6d51a3,4bc4587f05a754f52e40928c32c84ea48cc3522f,Dockerfile,"# TODO when https://jenkins.dockerproject.com/job/Windows/ is green, add windows back to the list above
#	windows/amd64 windows/386",2015/01/23 07:42,2015/02/10 07:22,2013/07/09 13:30,,562 days 18:12:00.000000000,"17 days, 23:40:00",https://github.com/moby/moby/commit/47769994e5cba81a96529b418052afce7a6d51a3#diff-dd2c0eb6ea5cfc6c4bd4eac30934e2d5746747af48fef6da689e85b752f39557R89,https://github.com/moby/moby/commit/4bc4587f05a754f52e40928c32c84ea48cc3522f#diff-dd2c0eb6ea5cfc6c4bd4eac30934e2d5746747af48fef6da689e85b752f39557L89,,
253,"zendtech
php-zendserver-docker",https://github.com/zendtech/php-zendserver-docker,ed44d0b62d9a118877e5664f5b7c2f31ba681cd7,9e03f246bebe045eb756d9e3996b542a372541d4,8.0/5.5/Dockerfile,# TODO:,2015/01/29 19:05,2015/11/09 22:11,2015/01/29 19:05,2016/08/01 18:35,0 days 00:00:00.000000000,"284 days, 3:06:00",https://github.com/zendtech/php-zendserver-docker/commit/ed44d0b62d9a118877e5664f5b7c2f31ba681cd7#diff-5087ae2a58189dc577c93f26936ea48e4df0c754f2f56af600397314b07c0fa0R5,https://github.com/zendtech/php-zendserver-docker/commit/9e03f246bebe045eb756d9e3996b542a372541d4#diff-5087ae2a58189dc577c93f26936ea48e4df0c754f2f56af600397314b07c0fa0L5,,
255,"zendtech
php-zendserver-docker",https://github.com/zendtech/php-zendserver-docker,ed44d0b62d9a118877e5664f5b7c2f31ba681cd7,9e03f246bebe045eb756d9e3996b542a372541d4,8.0/5.6/Dockerfile,# TODO:,2015/01/29 19:05,2015/11/09 22:11,2015/01/29 19:05,2016/08/01 18:35,0 days 00:00:00.000000000,"284 days, 3:06:00",https://github.com/zendtech/php-zendserver-docker/commit/ed44d0b62d9a118877e5664f5b7c2f31ba681cd7#diff-c64d59e03662742a1a5d60b6e7babddbb2e7a0690bfb54c468cd86047266ccd5R5,https://github.com/zendtech/php-zendserver-docker/commit/9e03f246bebe045eb756d9e3996b542a372541d4#diff-c64d59e03662742a1a5d60b6e7babddbb2e7a0690bfb54c468cd86047266ccd5L5,,
16,"docker-library
rabbitmq",https://github.com/docker-library/rabbitmq,77659a7555874cbbb2a1f7c32ce2f32bd81a7a41,7bf8ee55e00467d9eb8e662f509cac75100508e6,3.6/debian/Dockerfile,"# get logs to stdout (thanks to http://www.superpumpup.com/docker-rabbitmq-stdout for inspiration)
# TODO figure out what we'd need to do to add ""(sasl_)?"" to this sed and have it work (""{""init terminating in do_boot"",{rabbit,failure_during_boot,{error,{cannot_log_to_tty,sasl_report_tty_h,not_installed}}}}"")",2015/02/03 09:03,2015/05/16 01:46,2014/12/30 09:16,2019/01/15 09:22,34 days 23:47:00.000000000,"101 days, 16:43:00",https://github.com/docker-library/rabbitmq/commit/77659a7555874cbbb2a1f7c32ce2f32bd81a7a41#diff-dd2c0eb6ea5cfc6c4bd4eac30934e2d5746747af48fef6da689e85b752f39557R13,https://github.com/docker-library/rabbitmq/commit/7bf8ee55e00467d9eb8e662f509cac75100508e6#diff-dd2c0eb6ea5cfc6c4bd4eac30934e2d5746747af48fef6da689e85b752f39557L35,,
99,"moby
moby",https://github.com/moby/moby,3e84b9e56abdff7230e84a1830085c79c73aa3b7,f93fee5f48cc92df8668380e4edc2b7bbd6c62c6,docs/Dockerfile,# TODO: don't do this - look at merging the yml file in build.sh,2015/02/26 10:41,2015/06/16 05:19,2013/08/30 09:13,2016/10/15 06:12,545 days 01:28:00.000000000,"109 days, 18:38:00",https://github.com/moby/moby/commit/3e84b9e56abdff7230e84a1830085c79c73aa3b7#diff-325270e473e459d8ec894acac997d6558e54f0a9a51de491e81375ab58900de3R19,https://github.com/moby/moby/commit/f93fee5f48cc92df8668380e4edc2b7bbd6c62c6#diff-325270e473e459d8ec894acac997d6558e54f0a9a51de491e81375ab58900de3L30,,
156,"docker
docker-ce",https://github.com/docker/docker-ce,824b119187656e9475e2a02cd33d44f946f9d17b,9a276424db9080271213aa606d9aafef9c79b644,components/engine/docs/Dockerfile,# TODO: need the full repo source to get the git version info,2015/02/26 10:41,2015/06/16 05:19,2013/08/30 09:13,2016/10/15 06:12,545 days 01:28:00.000000000,"109 days, 18:38:00",https://github.com/docker/docker-ce/commit/824b119187656e9475e2a02cd33d44f946f9d17b#diff-6352245088f20ce067ab25e62a0adda0063e8f8253039791b323a755281cf9f4R7,https://github.com/docker/docker-ce/commit/9a276424db9080271213aa606d9aafef9c79b644#diff-6352245088f20ce067ab25e62a0adda0063e8f8253039791b323a755281cf9f4L16,,
157,"docker
docker-ce",https://github.com/docker/docker-ce,824b119187656e9475e2a02cd33d44f946f9d17b,9a276424db9080271213aa606d9aafef9c79b644,components/engine/docs/Dockerfile,# TODO: don't do this - look at merging the yml file in build.sh,2015/02/26 10:41,2015/06/16 05:19,2013/08/30 09:13,2016/10/15 06:12,545 days 01:28:00.000000000,"109 days, 18:38:00",https://github.com/docker/docker-ce/commit/824b119187656e9475e2a02cd33d44f946f9d17b#diff-6352245088f20ce067ab25e62a0adda0063e8f8253039791b323a755281cf9f4R19,https://github.com/docker/docker-ce/commit/9a276424db9080271213aa606d9aafef9c79b644#diff-6352245088f20ce067ab25e62a0adda0063e8f8253039791b323a755281cf9f4L30,,
100,"moby
moby",https://github.com/moby/moby,3e84b9e56abdff7230e84a1830085c79c73aa3b7,f93fee5f48cc92df8668380e4edc2b7bbd6c62c6,docs/Dockerfile,# TODO: need the full repo source to get the git version info,2015/02/26 10:41,2015/06/16 05:19,2013/08/30 09:13,2016/10/15 06:12,545 days 01:28:00.000000000,"109 days, 18:38:00",https://github.com/moby/moby/commit/3e84b9e56abdff7230e84a1830085c79c73aa3b7#diff-325270e473e459d8ec894acac997d6558e54f0a9a51de491e81375ab58900de3R7,https://github.com/moby/moby/commit/f93fee5f48cc92df8668380e4edc2b7bbd6c62c6#diff-325270e473e459d8ec894acac997d6558e54f0a9a51de491e81375ab58900de3L16,,
124,"docker
docker-ce",https://github.com/docker/docker-ce,c071c815d3338d8357acfbdfeb95122cb8eaba2e,2160e9bb7d89df1a9261eb809546a2f902817ed1,components/engine/Dockerfile,"# see also ""hack/make/.ensure-frozen-images"" (which needs to be updated any time this list is)",2015/03/10 10:02,2017/04/11 05:05,2013/07/09 13:30,,608 days 20:32:00.000000000,"762 days, 19:03:00",https://github.com/docker/docker-ce/commit/c071c815d3338d8357acfbdfeb95122cb8eaba2e#diff-a3e40a36d8a31c3425a6c7002b217d41d51782bd42bddb2471e89c082fdd4185R149,https://github.com/docker/docker-ce/commit/2160e9bb7d89df1a9261eb809546a2f902817ed1#diff-a3e40a36d8a31c3425a6c7002b217d41d51782bd42bddb2471e89c082fdd4185L242,,
74,"moby
moby",https://github.com/moby/moby,09b4c2585284d1125d4d299a7d58b36c1d0baf17,1ecd8ed5186a161c1c43ae7c99b1c81b97188619,Dockerfile,"# see also ""hack/make/.ensure-frozen-images"" (which needs to be updated any time this list is)",2015/03/10 10:02,2017/04/11 05:05,2013/07/09 13:30,,608 days 20:32:00.000000000,"762 days, 19:03:00",https://github.com/moby/moby/commit/09b4c2585284d1125d4d299a7d58b36c1d0baf17#diff-dd2c0eb6ea5cfc6c4bd4eac30934e2d5746747af48fef6da689e85b752f39557R149,https://github.com/moby/moby/commit/1ecd8ed5186a161c1c43ae7c99b1c81b97188619#diff-dd2c0eb6ea5cfc6c4bd4eac30934e2d5746747af48fef6da689e85b752f39557L242,,
263,"haskell
docker-haskell",https://github.com/haskell/docker-haskell,3d147020c8d2beb5a52cb3b9ef89712f9e2c1939,a5ddcdd90f4db30246c6996516bba4367975e81a,7.8/Dockerfile,"## install additional libs typically needed by hackage packages
#RUN apt-get update && \
#    apt-get install ${OPTS_APT} zlib1g-dev libtinfo-dev",2014/10/07 10:15,2015/03/31 06:11,2014/05/29 12:51,,"130 days, 21:24:00","174 days, 19:56:00",https://github.com/haskell/docker-haskell/commit/3d147020c8d2beb5a52cb3b9ef89712f9e2c1939#diff-0dca2087f52433bae04e2ec78a1e11c92c66dc0058a8a690fce635067fe43ab7R22,https://github.com/haskell/docker-haskell/commit/a5ddcdd90f4db30246c6996516bba4367975e81a#diff-0dca2087f52433bae04e2ec78a1e11c92c66dc0058a8a690fce635067fe43ab7L21,https://github.com/haskell/docker-haskell/commit/ced15f9e787dde6d7559819896bf322ef9a9fa17#diff-0dca2087f52433bae04e2ec78a1e11c92c66dc0058a8a690fce635067fe43ab7R53,## install additional libs typically needed by hackage packages
264,"haskell
docker-haskell",https://github.com/haskell/docker-haskell,3d147020c8d2beb5a52cb3b9ef89712f9e2c1939,a5ddcdd90f4db30246c6996516bba4367975e81a,7.10/Dockerfile,"## install additional libs typically needed by hackage packages
#RUN apt-get update && \
#    apt-get install ${OPTS_APT} zlib1g-dev libtinfo-dev",2015/03/28 01:31,2015/03/31 06:11,2015/03/28 01:31,,0 days 00:00:00.000000000,"3 days, 4:40:00",https://github.com/haskell/docker-haskell/commit/3d147020c8d2beb5a52cb3b9ef89712f9e2c1939#diff-a71b1587cee588560767fae81cf4f543d675820da1e34f40c207d3c265d26551R21,https://github.com/haskell/docker-haskell/commit/a5ddcdd90f4db30246c6996516bba4367975e81a#diff-a71b1587cee588560767fae81cf4f543d675820da1e34f40c207d3c265d26551L21,,
303,"docker-library
drupal",https://github.com/docker-library/drupal,6440784240cfb19b860220e874a738b961577949,42520d3a76d04a2aa2fcf4f6c4a77a22e141fa4a,7/apache-buster/Dockerfile,# TODO use this MD5,2015/04/15 08:20,2015/04/28 08:37,2015/04/15 08:20,,0 days 00:00:00.000000000,"13 days, 0:17:00",https://github.com/docker-library/drupal/commit/6440784240cfb19b860220e874a738b961577949#diff-dd2c0eb6ea5cfc6c4bd4eac30934e2d5746747af48fef6da689e85b752f39557R16,https://github.com/docker-library/drupal/commit/42520d3a76d04a2aa2fcf4f6c4a77a22e141fa4a#diff-dd2c0eb6ea5cfc6c4bd4eac30934e2d5746747af48fef6da689e85b752f39557L14,,
198,"containous
traefik",https://github.com/containous/traefik,a5a8d6929e793f6c3a70b1b84f68973c506deced,6362b1da7fc76e1131d3b5850601d1236d21d5a6,build.Dockerfile,"# This is a hack (see libcompose#32) - will be removed when libcompose will be fixed
# (i.e go get able)",2015/09/29 03:27,2015/10/14 05:56,2015/09/16 06:09,,12 days 21:18:00.000000000,"15 days, 2:29:00",https://github.com/containous/traefik/commit/a5a8d6929e793f6c3a70b1b84f68973c506deced#diff-55dead81f1d0d3cb944e2967161f98e2301f467d2fc30fdfb0b478a657704202R22,https://github.com/containous/traefik/commit/6362b1da7fc76e1131d3b5850601d1236d21d5a6#diff-55dead81f1d0d3cb944e2967161f98e2301f467d2fc30fdfb0b478a657704202L22,,
248,"zendtech
php-zendserver-docker",https://github.com/zendtech/php-zendserver-docker,82bba8cc44febcc6d7f31e25373fd323a1b54bfc,9e03f246bebe045eb756d9e3996b542a372541d4,8.5/5.6/Dockerfile,# TODO:,2015/10/11 19:18,2015/11/09 22:11,2015/10/11 19:18,,0 days 00:00:00.000000000,"29 days, 2:53:00",https://github.com/zendtech/php-zendserver-docker/commit/82bba8cc44febcc6d7f31e25373fd323a1b54bfc#diff-48b67356971d688ddbaf00b22cbb394a6439e86232c89dc859e67cb136a33492R5,https://github.com/zendtech/php-zendserver-docker/commit/9e03f246bebe045eb756d9e3996b542a372541d4#diff-48b67356971d688ddbaf00b22cbb394a6439e86232c89dc859e67cb136a33492L5,,
256,"zendtech
php-zendserver-docker",https://github.com/zendtech/php-zendserver-docker,82bba8cc44febcc6d7f31e25373fd323a1b54bfc,9e03f246bebe045eb756d9e3996b542a372541d4,8.5/5.5/Dockerfile,# TODO:,2015/10/11 19:18,2015/11/09 22:11,2015/10/11 19:18,2018/04/30 21:45,0 days 00:00:00.000000000,"29 days, 2:53:00",https://github.com/zendtech/php-zendserver-docker/commit/82bba8cc44febcc6d7f31e25373fd323a1b54bfc#diff-0af92589086ecea82bb08707e87bae18d7c48a96a67d289dfac7ca3a7446b7daR5,https://github.com/zendtech/php-zendserver-docker/commit/9e03f246bebe045eb756d9e3996b542a372541d4#diff-0af92589086ecea82bb08707e87bae18d7c48a96a67d289dfac7ca3a7446b7daL5,,
331,"wikimedia
mediawiki-docker",https://github.com/wikimedia/mediawiki-docker,8b6397888af7e165e1e1494c6be823a151b616c2,1828584c75e34ee08f12427e64d907f469cbab7c,1.31/apache/Dockerfile,# TODO: Switch to debian sid,2015/12/19 10:41,2015/12/19 13:28,2015/08/13 14:16,,127 days 20:25:00.000000000,2:47:00,https://github.com/wikimedia/mediawiki-docker/commit/8b6397888af7e165e1e1494c6be823a151b616c2#diff-dd2c0eb6ea5cfc6c4bd4eac30934e2d5746747af48fef6da689e85b752f39557R1,https://github.com/wikimedia/mediawiki-docker/commit/1828584c75e34ee08f12427e64d907f469cbab7c#diff-dd2c0eb6ea5cfc6c4bd4eac30934e2d5746747af48fef6da689e85b752f39557L1,,
75,"moby
moby",https://github.com/moby/moby,4357ed4a7363a1032edf93cf03232953c805184f,9b8d328666a6cd5313208cdf5f116825f06dccdc,Dockerfile,"# install seccomp
# TODO: switch to libseccomp-dev since dockerinit is gone",2016/01/26 21:47,2016/02/03 03:03,2013/07/09 13:30,,931 days 08:17:00.000000000,"7 days, 5:16:00",https://github.com/moby/moby/commit/4357ed4a7363a1032edf93cf03232953c805184f#diff-dd2c0eb6ea5cfc6c4bd4eac30934e2d5746747af48fef6da689e85b752f39557R99,https://github.com/moby/moby/commit/9b8d328666a6cd5313208cdf5f116825f06dccdc#diff-dd2c0eb6ea5cfc6c4bd4eac30934e2d5746747af48fef6da689e85b752f39557L98,,
125,"docker
docker-ce",https://github.com/docker/docker-ce,4edafc3bc120137c52da71f041df222fcf88cb3d,503a6ed4ffd6af08d03275cdb5989d818afcbcff,components/engine/Dockerfile,"# install seccomp
# TODO: switch to libseccomp-dev since dockerinit is gone",2016/01/26 21:47,2016/02/03 03:03,2013/07/09 13:30,,931 days 08:17:00.000000000,"7 days, 5:16:00",https://github.com/docker/docker-ce/commit/4edafc3bc120137c52da71f041df222fcf88cb3d#diff-a3e40a36d8a31c3425a6c7002b217d41d51782bd42bddb2471e89c082fdd4185R99,https://github.com/docker/docker-ce/commit/503a6ed4ffd6af08d03275cdb5989d818afcbcff#diff-a3e40a36d8a31c3425a6c7002b217d41d51782bd42bddb2471e89c082fdd4185L98,,
